Lineup,Members,Where,Date,Running Time,URL,URL2,URL3,Notes
Deep Purple Mk I,"Blackmore, Evans, Lord, Paice, Simper","Interview with Jon, Copenhagen, Denmark",1968-04,1:44,https://youtu.be/9rYYPYMFM0g,,,Danish TV. B&w
Deep Purple Mk I,"Blackmore, Evans, Lord, Paice, Simper","Help, Copenhagen, Denmark",1968-04,5:28,https://youtu.be/qsBYen4qXQo,,,Shot on a rooftop by Danish TV. B&w
Deep Purple Mk I,"Blackmore, Evans, Lord, Paice, Simper",Hush (German TV),1968,,https://www.youtube.com/watch?v=_4QBhC1uCP4,,,TV. Miming. B&w
Deep Purple Mk I,"Blackmore, Evans, Lord, Paice, Simper","Wring that Neck, recording studio",1968,3:20,https://youtu.be/S7J2j6QMbWQ,,,Pro shot. B&w. Deep Purple Official Youtube channel
Deep Purple Mk I,"Blackmore, Evans, Lord, Paice, Simper","The Forum, Inglewood, Los Angeles, USA",1968-10-18,49:56,https://youtu.be/goJCF_r894k,,,"Pro video, but bad quality image and sound. Still, the only complete Mk1 concert on video so far. They played support for Cream."
Deep Purple Mk I,"Blackmore, Evans, Lord, Paice, Simper","And the Address, Hush, Playboy After Dark, Los Angeles, USA",1968-10-23,,https://archive.org/details/playboy-after-dark-s01e14-1968-10-23,,,Playboy After Dark TV show
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Wring That Neck [Prelude] / Mandrake Root [Jam Section], Bilzen Jazz Festival, Belgium",1969-08-22,18:56,https://youtu.be/HuN1cF2C6ec,,,"TV recording, b&w. Deep Purple Official Youtube channel"
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Wring that Neck, Paint it Black, Mandrake Root (all incomplete), Bilzen Jazz Festival, Belgium",1969-08-22,24:26,https://youtu.be/VCsstEhd1Us,,,"TV recording, b&w. Deep Purple Official Youtube channel"
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Hallelujah; Beat Club, German TV",1969-08-30,3:41,https://youtu.be/dDNQkkEFbcM,https://youtu.be/XdsdlbLTMaM,,"TV recording, miming"
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Mandrake Root, Essen, Germany",1969-10-11,5:06,https://youtu.be/JA8cR1gCQLU,,,"TV recording, b&w"
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Essen, Germany",1969-10-11,17:38,https://youtu.be/egVeY6LcXcE,,,"TV recording, b&w"
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice",And the Address. Mark II miming in surreal film from German TV show P2 (P Zwo),1969-10-20,4:14,https://youtu.be/NhurdnfZsBA,,,
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","And the Address, April, Hey Joe. Arty late 60s German TV piece from the show P2 (P Zwo). Mark 2 miming to Mark 1 songs",1969-10-20,18:57,https://youtu.be/IECLe_I_nGs,,,
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Mandrake Root, Bank Queen Elizabeth Hall, London. TV program ""South Bank Summer"", LWT",1970-07-28,12:28,https://youtu.be/3c1v7WhKJoA,,,TV recording for London Weekend Television (LWT) / ITV
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Child in Time, ""Doing Their Thing"", Granada TV studios, Manchester, UK",1970-07-14,9:36,https://www.youtube.com/watch?v=OorZcOzNcgE,,,"TV recording, sent by Granada TV / ITV in UK 1970-08-21, later released on VHS"
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Speed King, ""Doing Their Thing"" Granada TV studios, Manchester, UK (incomplete)",1970-07-14,5:54,https://www.youtube.com/watch?v=10zbW-mK2x4,,,"TV recording, sent by Granada TV / ITV in UK 1970-08-21, later released on VHS"
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Wring that Neck, ""Doing Their Thing"" Granada TV studios, Manchester, UK (incomplete)",1970-07-14,4:29,https://www.youtube.com/watch?v=giYkHo2Tp3E,,,"TV recording, sent by Granada TV / ITV in UK 1970-08-21, later released on VHS"
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Wring that Neck, MRoot, Pop Deux (TV show), La Taverne de L'Olympia, Paris",1970-10-08,25:37,https://youtu.be/TpPvu0gpmVw,,,TV recording
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Black Night, Top of the Pops, BBC TV (band miming, but to a BBC recording of the song)",1970-10-15,3:13,https://youtu.be/ex84191HQsg,,,"TV recording. Deep Purple Official Youtube channel. Date is first screening, might have been recorded 1970-09-23"
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Black Night, Hamburg, Germany",1970-12-01,6:49,https://youtu.be/LfB3AuPIIko,,,"TV recording, b&w, Deep Purple Official Youtube channel"
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Strange Kind of Woman, Italian TV",1971-05,5:05,https://youtu.be/H7Gne6XPJ8Q,,,"TV recording, b&w, miming"
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Clips from Speed King, drum solo, Child in Time, interviews. ""The Revolution"". Docu from Swiss TV. Casino, Montreux, Switzerland",1971-04-16,11:14,https://youtu.be/-qxhHuMOLjI,,,"TV recording, b&w. Deep Purple Official Youtube channel"
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Demon's Eye, Berlin, Messegelände, IFA Halle 1, SFB TV, ""music today"" - Germany",1971-09-01,4:13,https://youtu.be/HzHCs8oSPCE,,,TV recording
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Demon's Eye, Berlin, Messegelände, IFA Halle 1, SFB TV, ""music today"" - Germany",1971-09-01,10:10,https://youtu.be/QXizI5Q3L8U,,,"TV recording. Full track, but with some audience interviews over the middle sequence"
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","Into the Fire, Berlin, Messegelände, IFA Halle 1, SFB TV, ""music today"" - Germany",1971-09-01,4:10,https://youtu.be/gMbY45kFs7w,,,TV recording
Deep Purple Mk IIa,"Blackmore, Gillan, Glover, Lord, Paice","No, no, no, Beat Club German TV",1971-09-25,"7:15, 7:20, 7:39",https://youtu.be/kuRSsvBjNJc,https://youtu.be/EHNxpPWEwZ0,,TV recording. Date is first airing date
